abstraction_class,candidate_ip,organization_or_project,rtl_available,hdl_or_source_form,source_url,rtl_location_hint,published_energy_or_power_data,fit_for_our_class,notes
input_literal,No dedicated compute IP,Generic SoC pattern,No,N/A,N/A,N/A,No,Direct,"Model as interface/ROM behavior, not a standalone accelerator block."
logical_view,No dedicated compute IP,Compiler/runtime concept,No,N/A,N/A,N/A,No,Direct,"Reshape/bitcast/view-style ops are usually compiler-managed metadata, not separate RTL."
contiguous_move,AXI DMA Controller,atfox272,Yes,RTL Verilog,https://github.com/atfox272/dma,AXI DMA controller repo with AXI MM + AXI Stream DMA blocks,No,Direct,"Good candidate for scratchpad/HBM DMA-style movement and bandwidth/energy extraction from RTL."
contiguous_move,DMA AXI 32/64 bits,freecores / OpenCores,Yes,RTL Verilog,https://github.com/freecores/dma_axi,src/,No,Direct,"Older but usable AXI DMA IP if you want a simpler data mover baseline."
indexed_move,RISC-V Vector core memory path,IntelLabs riscv-vector,Yes,Chisel RTL,https://github.com/IntelLabs/riscv-vector,src/main/scala/darecreek/exu and load/store paths,No,Proxy,"Not a standalone AGU IP, but includes vector load/store hardware that is the closest open gather/scatter-style proxy I found."
indexed_move,RISC-V^2 vector processor,ic-lab-duth,Yes,SystemVerilog RTL,https://github.com/ic-lab-duth/RISC-V-Vector,rtl/,No,Proxy,"Repo explicitly mentions memory operations and a decoupled memory/computation path; useful proxy for indexed/vector memory hardware."
tensor_compute,SAURIA,bsc-loca,Yes,SystemVerilog RTL,https://github.com/bsc-loca/sauria,SystemVerilog accelerator repo,No,Direct,"Strong fit for systolic-array / GEMM-style tensor_compute. Parametric CNN/GEMM accelerator."
tensor_compute,NVDLA,nvdla,Yes,Verilog RTL,https://github.com/nvdla/hw,vmod/nvdla/,Partial,Direct,"Complete open DLA RTL with synthesis scripts. More full accelerator than pure matmul IP, but very strong real hardware reference."
vector_compute,Vector Acceleration IP core for RISC-V,IntelLabs,Yes,Chisel RTL,https://github.com/IntelLabs/riscv-vector,src/main/scala/darecreek/exu/vfucore/,No,Direct,"Good open vector ALU baseline. Arithmetic FUs and wrappers are explicitly called out in the repo."
vector_compute,RISC-V^2 vector processor,ic-lab-duth,Yes,SystemVerilog RTL,https://github.com/ic-lab-duth/RISC-V-Vector,rtl/,No,Direct,"Open vector datapath with integer arithmetic and memory ops; useful SIMD/vector execution reference."
special_math,CORDIC,sadrasabouri,Yes,Verilog RTL,https://github.com/sadrasabouri/CORDIC,Verilog/,No,Direct,"Implements CORDIC-based sin/cos/tanh/exp/ln style functionality. Good SFU-style RTL source."
special_math,CORDIC VLSI-IP for deep learning activation functions,srohit0,Yes,Verilog RTL,https://github.com/srohit0/CORDIC,misc/ and Verilog sources,No,Direct,"Good activation/SFU-oriented CORDIC IP. More activation-focused than general vector math."
reduction,RISC-V^2 vector processor reduction tree,ic-lab-duth,Yes,SystemVerilog RTL,https://github.com/ic-lab-duth/RISC-V-Vector,rtl/,No,Direct,"Repo explicitly mentions a dynamically generated hardware reduction tree for reduction instructions."
reduction,Parameterizable adder tree,OpenCores,Yes,Verilog RTL,https://opencores.org/projects/adder_tree,OpenCores project files,No,Direct,"Simple reduction-tree baseline if you want a small standalone reduction block."
predication_select,Vector Acceleration IP core for RISC-V,IntelLabs,Yes,Chisel RTL,https://github.com/IntelLabs/riscv-vector,mask and permutation FUs in vfucore/crosslane,No,Direct,"Includes mask/permutation/compare-style functionality suitable as predicate/select hardware reference."
predication_select,RISC-V^2 vector processor,ic-lab-duth,Yes,SystemVerilog RTL,https://github.com/ic-lab-duth/RISC-V-Vector,rtl/,No,Proxy,"Good general vector predicate/select proxy if you want RTL for compare/select behavior."
control_runtime,Ibex,lowRISC,Yes,SystemVerilog RTL,https://github.com/lowRISC/ibex,rtl/,Partial,Direct,"Production-quality small control core; repo includes area/configuration data, but not instruction-level energy."
control_runtime,CV32E40P,OpenHW Group,Yes,SystemVerilog RTL,https://github.com/openhwgroup/cv32e40p,rtl/,Partial,Direct,"Industrial-quality embedded RISC-V controller candidate if you want a somewhat heavier control processor."
collective_comm,nocgen,matutani,Yes,Generated Verilog RTL,https://github.com/matutani/nocgen,Generated Verilog HDL NoC routers,No,Direct,"Useful open NoC/router generator for collective/interconnect modeling."
collective_comm,OpenNoc,kuladeepsaireddy,Yes,Verilog RTL,https://github.com/kuladeepsaireddy/OpenNoc,src/Verilog,No,Direct,"Lightweight open NoC implementation; good if you want a concrete router/interconnect RTL target."
io_transfer,AXI DMA Controller,atfox272,Yes,RTL Verilog,https://github.com/atfox272/dma,AXI DMA controller repo,No,Direct,"Reasonable proxy for external I/O DMA frontends as well as contiguous movement engines."
io_transfer,Generic AXI DMA,OpenCores,Yes,Verilog RTL,https://opencores.org/projects/axi_dma,OpenCores project files,No,Direct,"Another DMA option if you want a small open RTL mover between peripherals and memory."
tuple_structural,No dedicated compute IP,Compiler/runtime concept,No,N/A,N/A,N/A,No,Direct,"Tuple/structural ops should stay in compiler/runtime metadata unless you deliberately materialize them."
random_generation,CSRNG,OpenTitan,Yes,SystemVerilog RTL,https://opentitan.org/book/hw/ip/csrng/index.html,OpenTitan hw/ip/csrng/rtl/csrng.sv,Partial,Direct,"Well-documented open RNG IP. Good if you want a real RTL-backed random_generation block."
specialized_compute,NVDLA,nvdla,Yes,Verilog RTL,https://github.com/nvdla/hw,vmod/nvdla/,Partial,Proxy,"Useful proxy for specialized fused AI compute clusters when the op is not cleanly tensor/vector/reduction."
specialized_compute,SAURIA,bsc-loca,Yes,SystemVerilog RTL,https://github.com/bsc-loca/sauria,SystemVerilog accelerator repo,No,Proxy,"Also usable as a specialized ML accelerator proxy depending on how broad you want this bucket to be."
uncategorized,Manual mapping required,Project policy,N/A,N/A,N/A,N/A,N/A,Needs review,"Keep this bucket empty in the final flow; use it only to catch ops that still need hardware assignment."
